contract_id,title,template_family,vendor_name,entity_name,effective_date,expiry_date,status,signature_status,last_reviewed_date,last_activity_date,governing_paper,business_scope,commercial_model,financial_terms,auto_renewal,standard_terms_alignment,open_source_candidate,risk_flags
DUMMY-011,Final Executed OEM Agreement,Legacy OEM agreement,"SignalPath UI Components, Inc.","Cisco Systems, Inc.",2009-01-20,2027-01-19,Active,Executed,2018-05-04,2024-03-28,Vendor paper,"Embedded graphical UI controls, charting widgets, and device-side menu framework.",Perpetual OEM license plus annual maintenance,One-time license fee previously paid; ongoing 18% maintenance and optional feature royalties.,Auto-renews yearly unless either party gives notice 30 days before the end of the current term.,"Low alignment; document predates current security, accessibility, and sourcing standards.","Yes, likely replaceable with Qt for MCUs or web-based rendering stack depending hardware profile.",Very old contract still active | Minimal cybersecurity language | Maintenance pricing lacks benchmark protections
DUMMY-012,Amendment No. 3 to SolutionsPlus Agreement,SolutionsPlus amendment,Helix Route Cloud AG,Cisco Systems International B.V.,2021-07-12,2027-07-11,Active,Executed,2024-01-30,2025-01-23,Cisco paper,"Resale of cloud-native contact center connectors, routing adapters, and reporting modules.",Revenue share,Cisco retains 27% of net end-customer subscription revenue on eligible SKUs.,Renews for two-year periods absent non-renewal notice delivered 120 days before term end.,High alignment; cloud security and branding rights are current.,"Connectors could be custom-built, but operational support burden would increase.",Revenue share percentages may need refresh against current channel benchmarks
DUMMY-013,Commercial Terms Addendum to Core Supplier Base Agreement,Cloud services addendum,Helix Route Cloud AG,"Cisco Systems, Inc.",2022-10-17,2027-10-16,Active,Fully executed,2024-09-09,2025-03-14,Cisco paper,"Commercial framework for SaaS cloud services including hosting, support, DR, and compliance commitments.",Committed annual cloud spend,"Committed annual spend of USD 780,000 with overage fees for usage above contracted API volumes.",Auto-renews yearly unless a party elects non-renewal on 180 days' notice.,"High alignment; includes security controls, audit reports, and data residency commitments.","Monitoring and logging layers could be internalized, but full platform replacement is not near-term.",API overage fees can spike without forecasting | Data residency annex may require update for new regions
DUMMY-014,Amendment No. 4 to SolutionsPlus Agreement,Resale amendment,Helix Route Cloud AG,Cisco Systems International B.V.,2024-02-01,2028-01-31,Active,Executed,2024-11-19,2025-02-20,Cisco paper,"Updated territories, enablement obligations, and marketing development fund terms.",Reseller discount plus MDF,Base discount of 24%; additional 3% MDF accrues on qualified regional campaigns.,Base agreement governs renewal; this amendment remains effective until superseded.,High alignment.,Not applicable; this is primarily a channel-commercial instrument.,MDF reconciliation requires manual finance follow-up
DUMMY-015,Amendment No. 4 to Application License Agreement for ISVs,ISV amendment,Harbor Peak Development Tools GmbH,"Cisco Systems, Inc.",2024-08-30,2027-08-29,Pending activation,"Signed, pending internal operational handoff",2025-01-15,2025-01-15,Cisco paper,Updated redistribution rights for software-development components bundled with build and test systems.,Annual development redistribution license,"USD 310,000 annual fee for build farm, CI, and redistribution entitlements.",No automatic renewal; parties must negotiate continuation.,High alignment with current procurement requirements.,Some static analysis functions may be replaced with LLVM-based open tooling.,Operational ownership not yet assigned | Activation checklist incomplete
DUMMY-016,Legacy Perpetual License and Support Agreement,Perpetual license,IronGate Diagnostics Software,"Cisco Systems, Inc.",2011-05-03,2026-05-02,Active,Executed,2017-08-22,2023-12-14,Vendor paper,"Protocol diagnostics, crash analysis, and symbol decoding tools used in engineering support.",Per-seat maintenance,"120 named-user seats with annual maintenance of USD 1,450 per seat.",Support renews annually unless canceled 45 days before renewal.,Low alignment; limited security obligations and no modern privacy terms.,"Some functionality may be replaced with Wireshark, LLDB, and internal tooling.",Named users likely outdated | No recent review despite continued spend
DUMMY-017,Hosted Services and Data Processing Addendum,SaaS + DPA,Metric Harbor Insights Ltd.,Cisco Systems International B.V.,2023-04-01,2026-03-31,Active,Fully executed,2024-10-03,2025-03-03,Cisco paper,Telemetry analytics platform processing limited operational event data from collaboration services.,Usage-based SaaS,"Base platform fee of USD 180,000 plus metered charges by million events processed.",Renews for one-year terms unless either party provides 90 days' non-renewal notice.,High alignment; DPA and subprocessor terms are current.,Analytics stack could migrate to ClickHouse and Grafana with engineering investment.,Metered usage can exceed budget | Annual security report collection must be tracked
DUMMY-018,Royalty-Bearing Codec Integration Agreement,Royalty agreement,"Vertex Audio IP, LLC","Cisco Systems, Inc.",2017-02-14,2027-02-13,Active,Executed,2022-02-10,2024-11-01,Vendor paper,Integration of low-latency audio enhancement algorithms for conference endpoint devices.,Royalty by active endpoint,"USD 0.19 royalty per active endpoint shipped, subject to annual true-up.",Renews automatically for one-year periods while product family remains in active sale.,"Moderate alignment; IP language acceptable, security terms minimal.","DSP alternatives exist, but quality and certification risk must be assessed.",True-up process is manual | Pricing has not been renegotiated in several years
DUMMY-019,Source Code Escrow and Maintenance Addendum,Escrow addendum,"Northstar Interface Labs, Inc.","Cisco Systems, Inc.",2019-11-07,2026-11-06,Active,Executed,2023-06-28,2024-06-28,Cisco paper,"Escrow deposits, release conditions, and maintenance continuity for embedded UI toolkit source code.",Annual escrow and support fee,"USD 74,000 annual fee covering escrow agent charges and update verification.",Renews yearly unless terminated by either party with 60 days' written notice.,Strong alignment; escrow triggers and release rights are clearly negotiated.,"Long-term replacement remains possible, but escrow lowers immediate continuity risk.",Escrow verification dependent on annual deposit discipline
DUMMY-020,Transition Services and Exit Assistance Amendment,Exit/transition amendment,CloudMesa Software Services,Cisco Systems International B.V.,2025-01-08,2026-01-07,Drafted for testing,Synthetic draft only,2025-01-22,2025-01-22,Cisco paper,"Exit support, data export, migration assistance, and step-down services if SaaS stack is replaced.",Time-and-materials transition support,"Transition services billed at pre-agreed rate card with not-to-exceed cap of USD 240,000.",No renewal.,High alignment; designed as a modern transition rider.,Supports migration to internal or open-source alternatives by requiring export cooperation.,Synthetic scenario intended for AI testing only
